metric,value
artifact_check_count,5
artifact_pass_count,5
pass_count,5
row_count,5
step84_activation_feature_count,2
step84_combined_runtime_geometry_wall_velocity_enabled_count,1
step84_output_guard_pass,True
step84_particle_npy_count,0
step84_runtime_geometry_enabled_count,1
step84_runtime_geometry_wall_velocity_combined_quality_pass,True
step84_runtime_geometry_wall_velocity_combined_smoke_matrix_pass,True
step84_squid_proxy_enabled_count,0
step84_vtr_count,0
step84_wall_velocity_enabled_count,1
step86_step84_regression_guard_pass,True
