actual,check,expected,pass,row_name
True,step93_taichi_ggui_visualization_enablement_plan_pass,True,True,step94_ggui_visual_smoke_plan
first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_1step_ggui_visual_smoke,step94_allowed_row_name,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_1step_ggui_visual_smoke,True,step94_ggui_visual_smoke_plan
0,step93_activation_feature_count,0,True,step94_ggui_visual_smoke_plan
4,planned_step94_activation_feature_count,4,True,step94_ggui_visual_smoke_plan
1,step94_allowed_n_lbm_steps,1,True,step94_ggui_visual_smoke_plan
10,previous_step92_n_lbm_steps,10,True,step94_ggui_visual_smoke_plan
1,planned_step94_n_lbm_steps,1,True,step94_ggui_visual_smoke_plan
True,duration_reduction_for_visualization_isolation,True,True,step94_ggui_visual_smoke_plan
True,ggui_visualization_smoke_isolation,True,True,step94_ggui_visual_smoke_plan
taichi_ggui_visualization,only_new_feature_from_step92,taichi_ggui_visualization,True,step94_ggui_visual_smoke_plan
squid_proxy,geometry_type_allowed_for_step94,squid_proxy,True,step94_ggui_visual_smoke_plan
configs/step85_squid_proxy_geometry_1024.json,geometry_config_path_allowed_for_step94,configs/step85_squid_proxy_geometry_1024.json,True,step94_ggui_visual_smoke_plan
diagnostic_only,geometry_motion_application_mode_allowed_for_step94,diagnostic_only,True,step94_ggui_visual_smoke_plan
solid_vel_experimental,wall_velocity_application_mode_allowed_for_step94,solid_vel_experimental,True,step94_ggui_visual_smoke_plan
solid_vel,target_lbm_field_planned_for_step94,solid_vel,True,step94_ggui_visual_smoke_plan
"[0.0, 0.0, 0.0]",target_u_lbm_allowed_for_step94,"[0.0, 0.0, 0.0]",True,step94_ggui_visual_smoke_plan
True,ggui_visualization_planned_for_step94,True,True,step94_ggui_visual_smoke_plan
True,ggui_interactive_window_allowed_for_step94,True,True,step94_ggui_visual_smoke_plan
True,ggui_screenshot_allowed_for_step94,True,True,step94_ggui_visual_smoke_plan
False,ggui_video_allowed_for_step94,False,True,step94_ggui_visual_smoke_plan
False,write_vtk_allowed,False,True,step94_ggui_visual_smoke_plan
False,write_particles_allowed,False,True,step94_ggui_visual_smoke_plan
False,vtr_output_allowed,False,True,step94_ggui_visual_smoke_plan
False,particle_npy_output_allowed,False,True,step94_ggui_visual_smoke_plan
True,squid_proxy_planned_for_step94,True,True,step94_ggui_visual_smoke_plan
True,runtime_geometry_planned_for_step94,True,True,step94_ggui_visual_smoke_plan
True,wall_velocity_planned_for_step94,True,True,step94_ggui_visual_smoke_plan
True,combined_runtime_geometry_wall_velocity_planned_for_step94,True,True,step94_ggui_visual_smoke_plan
False,driver_run_required,False,True,step94_ggui_visual_smoke_plan
False,fsidriver_run_allowed,False,True,step94_ggui_visual_smoke_plan
False,simulation_run_allowed,False,True,step94_ggui_visual_smoke_plan
False,ggui_video_allowed_for_step94,False,True,step94_ggui_visual_smoke_plan
False,write_vtk_allowed,False,True,step94_ggui_visual_smoke_plan
False,write_particles_allowed,False,True,step94_ggui_visual_smoke_plan
False,vtr_output_allowed,False,True,step94_ggui_visual_smoke_plan
False,particle_npy_output_allowed,False,True,step94_ggui_visual_smoke_plan
False,real_geometry_allowed,False,True,step94_ggui_visual_smoke_plan
False,real_geometry_candidate_data_allowed,False,True,step94_ggui_visual_smoke_plan
False,link_area_allowed,False,True,step94_ggui_visual_smoke_plan
False,grid_48_allowed,False,True,step94_ggui_visual_smoke_plan
False,grid_64_allowed,False,True,step94_ggui_visual_smoke_plan
False,dense_wall_velocity_output_allowed,False,True,step94_ggui_visual_smoke_plan
False,dense_displacement_output_allowed,False,True,step94_ggui_visual_smoke_plan
False,runtime_code_changed,False,True,step94_ggui_visual_smoke_plan
False,solver_behavior_changed,False,True,step94_ggui_visual_smoke_plan
False,solver_formula_change_allowed,False,True,step94_ggui_visual_smoke_plan
False,tau_migration_allowed,False,True,step94_ggui_visual_smoke_plan
False,physical_validation_claim_allowed,False,True,step94_ggui_visual_smoke_plan
False,production_readiness_claim_allowed,False,True,step94_ggui_visual_smoke_plan
False,real_squid_validation_claim_allowed,False,True,step94_ggui_visual_smoke_plan
False,squid_swimming_claim_allowed,False,True,step94_ggui_visual_smoke_plan
False,squid_actuation_claim_allowed,False,True,step94_ggui_visual_smoke_plan
False,geometry_mutation_allowed,False,True,step94_ggui_visual_smoke_plan
